name,description,url,source,category,stem_fields,target_grade,cost,location_type,time_commitment,prerequisite_level,support_level,deadline,financial_barrier_level,financial_aid_available,family_income_consideration,hidden_costs_level,cost_category,diversity_focus,underrepresented_friendly,first_gen_support,cultural_competency,rural_accessible,transportation_required,internet_dependency,regional_availability,family_involvement_required,peer_network_building,mentor_access_level,source_file
NOAA Teacher at Sea Program,"Professional development program for educators to join NOAA research expeditions, gaining hands-on experience in ocean and atmospheric science research.",https://www.noaa.gov/office-education/teacher-at-sea,NOAA,Teacher Program,"Environmental Science, Ocean Science, Climate Science",K-12,Free,Federal,1-3 weeks,High,High,Annual applications,Low,False,Any,,Free,True,True,False,High,False,True,Basic,National,Optional,False,Professional,noaa_education_programs
NSBE Jr. - STEM Saturday Academies,"Monthly Saturday enrichment programs offering advanced STEM instruction. Topics include coding, robotics, 3D design, and engineering principles. Small class sizes with individualized attention. Project-based learning with take-home creations. College students and professionals as instructors. Breakfast and lunch often provided. Academic year program supplementing school curriculum. Free or low-cost for chapter members.",https://www.nsbe.org/nsbejr,NSBE Jr.,Program,"Coding, Robotics, 3D Design, Engineering",6-12,Paid,In-person,Monthly,Beginner,High,Rolling,Low,Available,Optional,Low,$50-$100,True,True,True,High,False,True,Low,Local,Medium,True,Professional,nsbe_jr
Osmo - Parent and Teacher Dashboard,"Free web portal tracking child progress across all Osmo games. View skills developed, time played, levels completed, and areas for growth. Generate progress reports and set learning goals. Monitor multiple children.",https://www.playosmo.com/,Osmo,Learning Platform,"Educational Technology, Progress Tracking, Data Analytics",PreK-6,Free,Online,Variable,,Medium,Rolling,,Not applicable,Not required,,Free,True,True,True,Medium,True,False,Required,International,High,False,Parent,osmo_learning
Osmo - Classroom Educator Resources,"Free teaching resources including lesson plans, curriculum guides, and classroom management tools. Standards-aligned activities for integrating Osmo into K-6 classrooms. Professional development materials for educators.",https://www.playosmo.com/,Osmo,Learning Platform,"Educational Resources, Curriculum, Teacher Professional Development",K-6,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,Medium,True,False,Required,International,Low,False,Teacher,osmo_learning
PBS Kids - PBS Parents: STEM Activities Guide,"Free downloadable activities and lesson plans for parents and educators. Hands-on STEM projects, experiments, and learning extensions. Support children ages 2-8 with at-home science and math enrichment.",https://pbskids.org/,PBS Kids,Learning Platform,"STEM Education, Parent Resources, Activity Guides, Lesson Plans",PreK-3,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,National,High,False,Parent,pbs_kids_stem
PBS Kids - Educator Resources Portal,"Free classroom resources, lesson plans, and professional development. Standards-aligned STEM curricula for PreK-3 teachers. Access teaching guides, assessment tools, and classroom activities.",https://pbskids.org/,PBS Kids,Learning Platform,"STEM Education, Teacher Resources, Professional Development, Curriculum",PreK-3,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,National,Low,False,Teacher,pbs_kids_stem
Pioneer Academics - Psychology and Human Behavior,"Research in psychology exploring cognition, behavior, or mental health. Work with psychology professor on topics like decision-making, social psychology, or clinical psychology. Study experimental design, psychological assessment, or therapeutic interventions. Research may involve literature review, survey design, or data analysis. Topics can include memory, perception, personality, or developmental psychology. Develop understanding of psychological research methods.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Psychology, Cognitive Science, Behavioral Science, Research Methods, Statistics",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics
Pioneer Academics - Political Science and International Relations,"Research in political science exploring governance, policy, or international relations. Work with political science professor on topics like voting behavior, conflict resolution, or political institutions. Study quantitative political analysis, comparative politics, or international security. Research may involve data analysis, case studies, or theoretical modeling. Topics can include democratization, human rights, diplomacy, or political economy.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Political Science, International Relations, Data Analysis, Research Methods, Policy",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics
Pioneer Academics - Philosophy and Logic,"Research in philosophy exploring ethics, metaphysics, epistemology, or logic. Work with philosophy professor on topics like moral philosophy, philosophy of mind, or formal logic. Study argumentation, critical reasoning, and philosophical methodology. Research may involve developing philosophical arguments, analyzing texts, or applying logic. Topics can include consciousness, free will, justice, or philosophy of science. Develop rigorous analytical thinking skills.",https://pioneeracademics.com/subjects/,Pioneer Academics,Research,"Philosophy, Logic, Critical Thinking, Ethics, Analytical Reasoning",9-12,Paid,Online,5 weeks,High,High,Rolling admissions,High,Scholarships-available,Optional,Program-Fee,$1000+,True,True,True,High,True,False,Required,International,,False,Professional,pioneer_academics
RISE Germany - Research Internships in Science and Engineering,"Prestigious 10-12 week summer research internship program for undergraduates at top German universities and research institutions. High school students entering college may apply. Work one-on-one with PhD advisors on cutting-edge research projects. Stipend provided covering living expenses. Housing assistance and German language course included. Research fields include physics, chemistry, biology, computer science, engineering, and mathematics. Develop international research experience and cultural competency. Strong academic record required (3.5+ GPA). Application includes transcripts, essays, and letters of recommendation.",https://www.riseprograms.org/programs,RISE Programs,Research Opportunity,"Physics, Chemistry, Biology, Computer Science, Engineering, Mathematics",12,Free,In-person,10-12 weeks,High,High,December,Low,Stipend-provided,Not required,Travel,Paid-Program,True,True,True,High,True,True,Medium,International,Low,True,Professional,rise_research
Roblox Education - Educator Resources and Lesson Plans,"Free curriculum resources for teachers using Roblox Studio in classroom. Standards-aligned lesson plans, student worksheets, assessment rubrics, and classroom management guides. Support K-12 computer science education.",https://education.roblox.com/en-us/resources,Roblox Education,Learning Platform,"Computer Science Education, Curriculum Development",5-12,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,,False,Teacher,roblox_education
Samsung Solve for Tomorrow - Phase 1: Idea Submission,"Initial phase requiring teams to identify community problem and propose STEM-based solution. Submit 350-word description explaining issue, why it matters, and how STEM can address it. Teams brainstorm local challenges in environment, health, or community wellbeing. Teacher facilitates team discussion and submission. All participating schools receive Samsung classroom kit. Open to all 6-12 public schools.",https://www.samsung.com/us/solvefortomorrow/,Samsung Solve for Tomorrow,Competition,"STEM Integration, Problem Identification, Community Analysis",6-12,Free,Online,2-4 weeks,,Medium,October-November,,Classroom-kit,Not required,,Free-Entry,True,True,True,High,True,False,Required,National,Low,True,Teacher,samsung_solve_for_tomorrow
Samsung Solve for Tomorrow - Teacher Professional Development,"Free professional development resources for teachers facilitating competition teams. Curriculum guides, lesson plans, and STEM teaching strategies. Webinars on project-based learning, design thinking, and student mentorship. Community of educators sharing best practices. Available year-round supporting classroom STEM integration.",https://www.samsung.com/us/solvefortomorrow/,Samsung Solve for Tomorrow,Competition,"STEM Education, Project-Based Learning, Design Thinking, Teaching",6-12,Free,Online,Flexible,Teacher participation,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,National,,True,Professional,samsung_solve_for_tomorrow
Tinkercad Educator Resources,"Free lesson plans, classroom activities, and teacher guides for K-12. Standards-aligned curriculum integration resources. Professional development for educators.",https://www.tinkercad.com/learn,Tinkercad,Learning Platform,"Education, Teaching Resources, Curriculum",K-12,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,,False,Teacher,tinkercad
TypingClub - Teacher Portal and Classroom Management,"Free teacher accounts for classroom management. Assign lessons, track student progress, and view class analytics. Create typing curriculum aligned to education standards. Monitor 30+ students simultaneously.",https://www.typingclub.com/sportal/,TypingClub,Learning Platform,"Computer Skills, Technology, Classroom Technology, Education",K-12,Free,Online,Teacher-managed,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,,True,Teacher,typingclub
Northwestern University Center for Talent Development (CTD),Gifted education programs including online courses and summer programs with university faculty mentorship. Advanced STEM courses with personalized instruction. Virtual and in-person options. Year-round programming.,https://www.ctd.northwestern.edu/,Northwestern University,Mentorship,"Mathematics, Science, Engineering, Technology",7-12,Paid,Virtual,Per course,High,High,Rolling,Medium,Available,Optional,Tuition,$500-$1000,True,True,True,High,True,False,Required,International,Low,True,Professional,university_stem_mentorship
VEX U Competition,University-level robotics competition for college students. Teams design custom robots with fewer restrictions than high school competition. Emphasizes advanced engineering design and autonomous programming capabilities.,https://www.vexrobotics.com/competition/vexu,VEX Robotics,Robotics Competition,"Engineering, Programming, Design, Mathematics",College,1000-2500,In-person,6-8 months,Medium,High,August-May (competition season),Medium,False,False,Travel,$1000-2500,False,True,True,Medium,True,True,Basic,National,Optional,True,Adult,vex_robotics_programs
Wonder Workshop - Classroom Management Portal,"Free teacher dashboard managing student progress, robot inventory, and lesson planning. Track class activities, share resources, and monitor learning objectives. Professional development tools.",https://www.makewonder.com/classroom/,Wonder Workshop,Learning Platform,"Educational Technology, Teaching Tools, Classroom Management",K-8,Free,Classroom,Variable,,High,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Required,International,,False,Teacher,wonder_workshop
Wonder Workshop - Professional Development,"Free online training for educators using Wonder robots. Webinars, video tutorials, and best practices for classroom implementation. Earn PD certificates.",https://www.makewonder.com/classroom/,Wonder Workshop,Learning Platform,"Teacher Training, Robotics Education, Professional Development",K-8,Free,Online,Variable,,High,Rolling,,Not applicable,Not required,,Free,True,True,True,High,True,False,Required,International,,True,Professional,wonder_workshop
Wonder Workshop - Project Library,"Free library of project ideas, challenges, and lesson extensions. Browse by grade level, subject, or skill. Teacher-created and community-shared resources.",https://www.makewonder.com/curriculum/,Wonder Workshop,Curriculum,"Robotics, Project-Based Learning, STEM",K-8,Free,Classroom,Variable,,Medium,Rolling,High,Limited,Optional,Equipment,Hardware-Required,True,True,True,High,True,False,Basic,International,Low,True,Teacher,wonder_workshop
